"","ID","ID.Parc","Adresse.Complete","Type","Latitude","Longitude","Adresse.Rue","Adresse.Ville","Adresse.Province","Adresse.Postal"
"498","CEA-506","St-Hubert - St-Bruno","2236 Boul Sir-Wilfrid-Laurier, St-Bruno, QC, J3V 4P6","Level2",45.520809,-73.317229,"2236 Boul Sir-Wilfrid-Laurier","St-Bruno","QC","J3V 4P6"
"499","CEA-10142","Collège de Rosemont","6400 16e avenue, Montréal, QC, H1X 2S9","Level2",45.55713912,-73.58114857,"6400 16e avenue","Montréal","QC","H1X 2S9"
"500","CEC-00033","BRCC - St-Hubert - Richelieu","2330 Chemin des Patriotes, Richelieu, QC, J3L 6M7","FastDC",45.413805,-73.240305,"2330 Chemin des Patriotes","Richelieu","QC","J3L 6M7"
"501","CEA-485","First Capital - Provigo Carré Lucerne","2386 chemin Lucerne, Mont-Royal, QC, H3R 2J8","Level2",45.506848,-73.66256,"2386 chemin Lucerne","Mont-Royal","QC","H3R 2J8"
"502","CEA-099","CÉGEP de Jonquière","2505 rue Saint Hubert, Jonquière, QC, G7X 7W2","Level2",48.40688551,-71.24842018,"2505 rue Saint Hubert","Jonquière","QC","G7X 7W2"
"503","CE-R-016","Réno-Dépôt - Pointe-Claire","400 boul. Brunswick, Pointe-Claire, QC, H9R 5X4","Level2",45.46247864,-73.83586121,"400 boul. Brunswick","Pointe-Claire","QC","H9R 5X4"
"504","CEA-505","Laurier-Station - Métro","122 boul. Laurier, Laurier-Station, QC, G0S 1N0","Level2",46.537516,-71.63764,"122 boul. Laurier","Laurier-Station","QC","G0S 1N0"
"505","CEA-057","Stade de Soccer de Montréal","9235 Avenue Papineau, Montréal, QC, H2M 2G5","Level2",45.562243,-73.63818,"9235 Avenue Papineau","Montréal","QC","H2M 2G5"
"506","CE-A-022","AMT - Gare Saint-Lambert","101 rue Mercier, Saint-Lambert, QC, J4P 2M1","Level2",45.50017166,-73.50548553,"101 rue Mercier","Saint-Lambert","QC","J4P 2M1"
"507","CEA-10175","Sur rue - Ville-Marie - rue Mackay","1428 rue Mackay, Montréal, QC, H3G 2H9","Level2",45.495977,-73.57747,"1428 rue Mackay","Montréal","QC","H3G 2H9"
"508","CE-VL-001","Ville de Longueuil","7025 boul. Cousineau, Longueuil, QC, J3Y 0H1","Level2",45.49120712,-73.40284729,"7025 boul. Cousineau","Longueuil","QC","J3Y 0H1"
